criterion_id,domain,raw_feature
D1,D1_prior_testing_treatment,lab_prev_30d
D1,D1_prior_testing_treatment,lab_prev_365d
D1,D1_prior_testing_treatment,micro_prev_30d
D1,D1_prior_testing_treatment,micro_prev_365d
D1,D1_prior_testing_treatment,icu_procedure_prev_30d
D1,D1_prior_testing_treatment,icu_procedure_prev_365d
D2,D2_prior_utilization,ed_visits_prev_30d
D2,D2_prior_utilization,ed_visits_prev_365d
D2,D2_prior_utilization,hospital_admissions_prev_30d
D2,D2_prior_utilization,hospital_admissions_prev_365d
D3,D3_triage_urgency_pain,triage_acuity
D3,D3_triage_urgency_pain,triage_acuity_missing
D3,D3_triage_urgency_pain,triage_pain
D3,D3_triage_urgency_pain,triage_pain_missing
D4,D4_patient_vulnerability,age_years
D4,D4_patient_vulnerability,prior_inpatient_charlson_index
D5,D5_respiratory_status,triage_resprate
D5,D5_respiratory_status,triage_resprate_missing
D5,D5_respiratory_status,triage_o2sat
D5,D5_respiratory_status,triage_o2sat_missing
D6,D6_prior_medication_device,medrecon_prev_30d
D6,D6_prior_medication_device,medrecon_prev_365d
D6,D6_prior_medication_device,pyxis_prev_30d
D6,D6_prior_medication_device,pyxis_prev_365d
D6,D6_prior_medication_device,antibiotic_any_prev_365d
D7,D7_circulatory_status,triage_sbp
D7,D7_circulatory_status,triage_sbp_missing
D7,D7_circulatory_status,triage_dbp
D7,D7_circulatory_status,triage_dbp_missing
D7,D7_circulatory_status,triage_heartrate
D7,D7_circulatory_status,triage_heartrate_missing
D7,D7_circulatory_status,triage_map
D7,D7_circulatory_status,triage_shock_index
D8,D8_arrival_mode,arrival_transport
D9,D9_thermal_inflammatory,triage_temperature_c
D9,D9_thermal_inflammatory,triage_temperature_c_missing
D10,D10_consciousness_neurologic,ams_flag_narrow
D10,D10_consciousness_neurologic,chiefcomplaint_missing
