analysis,candidate,test_encounters,test_patients,prevalence,metric,estimate,ci95_low,ci95_high
all eligible encounters,xgb_medium,59412,29466,0.40064296775062275,auroc,0.8484423627296998,0.8444099639757437,0.8522131455212156
all eligible encounters,xgb_medium,59412,29466,0.40064296775062275,auprc,0.7930358861862127,0.7862427246303672,0.7993172089949974
all eligible encounters,xgb_medium,59412,29466,0.40064296775062275,brier,0.15415559046222485,0.1520965220315248,0.15629642218043974
all eligible encounters,xgb_medium,59412,29466,0.40064296775062275,log_loss,0.46900975213410545,0.4639514405203896,0.474415884270107
all eligible encounters,xgb_medium,59412,29466,0.40064296775062275,calibration_intercept,0.013203813317931842,-0.012199123836401567,0.03826837896218425
all eligible encounters,xgb_medium,59412,29466,0.40064296775062275,calibration_slope,1.0406249316062406,1.0212000890927,1.0589425069421408
all eligible encounters,logistic_c1,59412,29466,0.40064296775062275,auroc,0.8328440132954205,0.8281536445722858,0.8372762320997567
all eligible encounters,logistic_c1,59412,29466,0.40064296775062275,auprc,0.7703693150597206,0.762998288056227,0.7773394058342616
all eligible encounters,logistic_c1,59412,29466,0.40064296775062275,brier,0.1620740511086836,0.1599820732319445,0.16459200416379477
all eligible encounters,logistic_c1,59412,29466,0.40064296775062275,log_loss,0.4910540926796205,0.485714590234004,0.49738842528545174
all eligible encounters,logistic_c1,59412,29466,0.40064296775062275,calibration_intercept,0.023034758216906474,-0.003962157984969815,0.05104173113095792
all eligible encounters,logistic_c1,59412,29466,0.40064296775062275,calibration_slope,1.0403441847111872,1.0186350571719471,1.0604659440475683
first encounter per patient,xgb_medium,29466,29466,0.37453336048326885,auroc,0.8492087086567376,0.8446363810495692,0.8533957362904493
first encounter per patient,xgb_medium,29466,29466,0.37453336048326885,auprc,0.7815558864214021,0.7738056032160328,0.7881434915444528
first encounter per patient,xgb_medium,29466,29466,0.37453336048326885,brier,0.15019461014458882,0.14806410322107968,0.15251835282040105
first encounter per patient,xgb_medium,29466,29466,0.37453336048326885,log_loss,0.4597790313320454,0.45442044984384616,0.46570500170462725
first encounter per patient,xgb_medium,29466,29466,0.37453336048326885,calibration_intercept,0.03741662655386407,0.006327844985296303,0.06627774959559199
first encounter per patient,xgb_medium,29466,29466,0.37453336048326885,calibration_slope,1.0421867154542317,1.0168826812689677,1.0669926559638434
first encounter per patient,logistic_c1,29466,29466,0.37453336048326885,auroc,0.839936422740788,0.834898376838329,0.844225366066688
first encounter per patient,logistic_c1,29466,29466,0.37453336048326885,auprc,0.76729138906305,0.7587749062292459,0.7743451789697442
first encounter per patient,logistic_c1,29466,29466,0.37453336048326885,brier,0.1545824686744475,0.15244614608474905,0.15696531872524394
first encounter per patient,logistic_c1,29466,29466,0.37453336048326885,log_loss,0.47328623566320466,0.46773985340740404,0.479616559782772
first encounter per patient,logistic_c1,29466,29466,0.37453336048326885,calibration_intercept,0.039220102125383766,0.008631101006171678,0.06745756761559266
first encounter per patient,logistic_c1,29466,29466,0.37453336048326885,calibration_slope,1.0445649234536563,1.0184560469780757,1.0685635702570802
