domain,mean_abs_group_shap_logodds,raw_ci_low,raw_ci_high,normalized_group_shap_weight,weight_ci_low,weight_ci_high,sum_abs_feature_shap_weight_sensitivity,permutation_weight,group_shap_rank,permutation_rank,criterion_id
D1_prior_testing_treatment,0.34242586181665691,0.33499228799410441,0.34949697393950802,0.12921480758519699,0.1267076083037523,0.1316424452445695,0.13337433455418529,0.1982408207226965,3,2,D1
D2_prior_utilization,0.25798171119989832,0.24956935902207061,0.2675950091464338,0.097349706579823406,0.094318494762693994,0.100632686416084,0.14288464729783271,0.1270522749012101,5,4,D2
D3_triage_urgency_pain,0.60399944793260174,0.59825788352898734,0.61014114211337922,0.22791991245089971,0.2258346852329636,0.2301604610584457,0.20345764510934891,0.1976621815093523,1,3,D3
D4_patient_vulnerability,0.58153296044177805,0.57567551603230249,0.58742476545519851,0.21944215658619709,0.21700536040231519,0.2215605862601232,0.20184546939036099,0.27306741014162411,2,1,D4
D5_respiratory_status,0.13579958840850889,0.13399244676582789,0.13754629506802329,0.051244136740319197,0.050607921047901502,0.051946557996076802,0.054068974910461198,0.023859636115842499,7,7,D5
D6_prior_medication_device,0.031087252595701002,0.030552943906871698,0.0317550376166717,0.0117308118644867,0.0115351527167065,0.011972254812470899,0.017862491149287799,0.0044147805938105997,9,10,D6
D7_circulatory_status,0.21460337921094449,0.2128158973797421,0.21661310654809809,0.080980841238920603,0.080160780315586294,0.081785487175267596,0.089000813107099605,0.049130563305665897,6,6,D7
D8_arrival_mode,0.33625607444222749,0.33358948533323368,0.33869166608556139,0.12688663095683439,0.1256633192002144,0.12806838300312351,0.1110175016208267,0.097869110487326605,4,5,D8
D9_thermal_inflammatory,0.11719160492744569,0.11577074350702669,0.1186635532089937,0.0442223919681866,0.043683802985737298,0.044809624536751899,0.037528277081821403,0.022809199971140202,8,8,D9
D10_consciousness_neurologic,0.029173364821902002,0.028144953586682099,0.030272618280205998,0.0110086040291348,0.0106094409302226,0.0114252005189521,0.0089598457787750992,0.0058940222513306998,10,9,D10
