site_id,expert_id,criterion_id,rank
A,DM1,D1,3
A,DM1,D2,1
A,DM1,D3,2
A,DM1,D4,5
A,DM1,D5,7
A,DM1,D6,4
A,DM1,D7,6
A,DM1,D8,8
A,DM1,D9,10
A,DM1,D10,9
A,DM2,D1,6
A,DM2,D2,9
A,DM2,D3,1
A,DM2,D4,5
A,DM2,D5,4
A,DM2,D6,8
A,DM2,D7,3
A,DM2,D8,10
A,DM2,D9,7
A,DM2,D10,2
A,DM3,D1,9
A,DM3,D2,6
A,DM3,D3,1
A,DM3,D4,7
A,DM3,D5,3.5
A,DM3,D6,10
A,DM3,D7,3.5
A,DM3,D8,2
A,DM3,D9,8
A,DM3,D10,5
A,DM4,D1,6
A,DM4,D2,9
A,DM4,D3,4
A,DM4,D4,5
A,DM4,D5,2
A,DM4,D6,8
A,DM4,D7,1
A,DM4,D8,10
A,DM4,D9,7
A,DM4,D10,3
A,DM5,D1,9
A,DM5,D2,8
A,DM5,D3,1
A,DM5,D4,4
A,DM5,D5,2.5
A,DM5,D6,5
A,DM5,D7,6
A,DM5,D8,10
A,DM5,D9,7
A,DM5,D10,2.5
A,DM6,D1,2
A,DM6,D2,3
A,DM6,D3,4
A,DM6,D4,5
A,DM6,D5,6
A,DM6,D6,1
A,DM6,D7,7
A,DM6,D8,8
A,DM6,D9,9
A,DM6,D10,10
A,DM7,D1,4
A,DM7,D2,5
A,DM7,D3,2
A,DM7,D4,7
A,DM7,D5,1
A,DM7,D6,8
A,DM7,D7,3
A,DM7,D8,9
A,DM7,D9,10
A,DM7,D10,6
A,DM8,D1,9
A,DM8,D2,8
A,DM8,D3,1
A,DM8,D4,2
A,DM8,D5,4
A,DM8,D6,10
A,DM8,D7,5
A,DM8,D8,7
A,DM8,D9,3
A,DM8,D10,6
A,DM9,D1,6
A,DM9,D2,7
A,DM9,D3,1
A,DM9,D4,5
A,DM9,D5,2
A,DM9,D6,8
A,DM9,D7,3
A,DM9,D8,10
A,DM9,D9,9
A,DM9,D10,4
A,DM10,D1,2
A,DM10,D2,8
A,DM10,D3,3
A,DM10,D4,7
A,DM10,D5,5
A,DM10,D6,1
A,DM10,D7,6
A,DM10,D8,4
A,DM10,D9,10
A,DM10,D10,9
