site_id,alternative_id,expert_id,criterion_id,term
A,A1,DM1,D1,SI
A,A1,DM2,D1,EI
A,A1,DM3,D1,VSI
A,A1,DM4,D1,VSI
A,A1,DM5,D1,EI
A,A1,DM6,D1,SI
A,A1,DM7,D1,SI
A,A1,DM8,D1,EI
A,A1,DM9,D1,EI
A,A1,DM10,D1,EI
A,A1,DM1,D2,EI
A,A1,DM2,D2,EI
A,A1,DM3,D2,PI
A,A1,DM4,D2,PI
A,A1,DM5,D2,PI
A,A1,DM6,D2,SI
A,A1,DM7,D2,EI
A,A1,DM8,D2,PI
A,A1,DM9,D2,EI
A,A1,DM10,D2,PI
A,A1,DM1,D3,AI
A,A1,DM2,D3,AI
A,A1,DM3,D3,AI
A,A1,DM4,D3,AI
A,A1,DM5,D3,AI
A,A1,DM6,D3,VSI
A,A1,DM7,D3,AI
A,A1,DM8,D3,AI
A,A1,DM9,D3,VSI
A,A1,DM10,D3,VSI
A,A1,DM1,D4,SI
A,A1,DM2,D4,VSI
A,A1,DM3,D4,SI
A,A1,DM4,D4,VSI
A,A1,DM5,D4,VSI
A,A1,DM6,D4,EI
A,A1,DM7,D4,SI
A,A1,DM8,D4,SI
A,A1,DM9,D4,VSI
A,A1,DM10,D4,EI
A,A1,DM1,D5,VSI
A,A1,DM2,D5,VSI
A,A1,DM3,D5,AI
A,A1,DM4,D5,AI
A,A1,DM5,D5,AI
A,A1,DM6,D5,SI
A,A1,DM7,D5,VSI
A,A1,DM8,D5,SI
A,A1,DM9,D5,VSI
A,A1,DM10,D5,AI
A,A1,DM1,D6,SI
A,A1,DM2,D6,SI
A,A1,DM3,D6,EI
A,A1,DM4,D6,VSI
A,A1,DM5,D6,SI
A,A1,DM6,D6,SI
A,A1,DM7,D6,SI
A,A1,DM8,D6,EI
A,A1,DM9,D6,SI
A,A1,DM10,D6,VSI
A,A1,DM1,D7,VSI
A,A1,DM2,D7,VSI
A,A1,DM3,D7,VSI
A,A1,DM4,D7,VSI
A,A1,DM5,D7,VSI
A,A1,DM6,D7,SI
