site_id,expert_id,criterion_id,rank_value
B,DM1,D1,6.5
B,DM1,D2,1
B,DM1,D3,2
B,DM1,D4,5
B,DM1,D5,8
B,DM1,D6,3.5
B,DM1,D7,6.5
B,DM1,D8,3.5
B,DM1,D9,10
B,DM1,D10,9
B,DM2,D1,8.5
B,DM2,D2,8.5
B,DM2,D3,1
B,DM2,D4,5
B,DM2,D5,4
B,DM2,D6,7
B,DM2,D7,2.5
B,DM2,D8,10
B,DM2,D9,6
B,DM2,D10,2.5
B,DM3,D1,8.5
B,DM3,D2,6
B,DM3,D3,1
B,DM3,D4,8.5
B,DM3,D5,3.5
B,DM3,D6,10
B,DM3,D7,3.5
B,DM3,D8,2
B,DM3,D9,7
B,DM3,D10,5
B,DM4,D1,5
B,DM4,D2,9.5
B,DM4,D3,3
B,DM4,D4,6
B,DM4,D5,1.5
B,DM4,D6,8
B,DM4,D7,1.5
B,DM4,D8,9.5
B,DM4,D9,7
B,DM4,D10,4
B,DM5,D1,9.5
B,DM5,D2,6
B,DM5,D3,5
B,DM5,D4,1
B,DM5,D5,3.5
B,DM5,D6,2
B,DM5,D7,7
B,DM5,D8,9.5
B,DM5,D9,8
B,DM5,D10,3.5
B,DM6,D1,3
B,DM6,D2,1
B,DM6,D3,5.5
B,DM6,D4,5.5
B,DM6,D5,7.5
B,DM6,D6,2
B,DM6,D7,7.5
B,DM6,D8,4
B,DM6,D9,9
B,DM6,D10,10
B,DM7,D1,8
B,DM7,D2,6
B,DM7,D3,5
B,DM7,D4,7
B,DM7,D5,1
B,DM7,D6,9.5
B,DM7,D7,2
B,DM7,D8,9.5
B,DM7,D9,3.5
B,DM7,D10,3.5
B,DM8,D1,9.5
B,DM8,D2,5.5
B,DM8,D3,2
B,DM8,D4,1
B,DM8,D5,8
B,DM8,D6,9.5
B,DM8,D7,7
B,DM8,D8,4
B,DM8,D9,3
B,DM8,D10,5.5
B,DM9,D1,7
B,DM9,D2,6
B,DM9,D3,1
B,DM9,D4,4.5
B,DM9,D5,2
B,DM9,D6,9.5
B,DM9,D7,3
B,DM9,D8,9.5
B,DM9,D9,8
B,DM9,D10,4.5
B,DM10,D1,2
B,DM10,D2,6
B,DM10,D3,7
B,DM10,D4,8
B,DM10,D5,4.5
B,DM10,D6,1
B,DM10,D7,4.5
B,DM10,D8,3
B,DM10,D9,9.5
B,DM10,D10,9.5
