analysis,panel,criterion_id,patient_evidence_weight,panel_value_weight,combined_weight_lambda_0_5
primary_ddcdw,A,D1,0.1982408207226965,0.09866666666666668,0.14845374369468164
primary_ddcdw,A,D2,0.1270522749012101,0.088000000000000009,0.1075261374506051
primary_ddcdw,A,D3,0.1976621815093523,0.1466666666666667,0.17216442408800955
primary_ddcdw,A,D4,0.27306741014162411,0.10400000000000001,0.18853370507081216
primary_ddcdw,A,D5,0.023859636115842499,0.12400000000000001,0.073929818057921259
primary_ddcdw,A,D6,0.0044147805938105997,0.089333333333333348,0.046874056963571976
primary_ddcdw,A,D7,0.049130563305665897,0.11533333333333336,0.082231948319499634
primary_ddcdw,A,D8,0.097869110487326605,0.06933333333333333,0.083601221910329995
primary_ddcdw,A,D9,0.022809199971140202,0.06666666666666668,0.044737933318903446
primary_ddcdw,A,D10,0.0058940222513306998,0.09799999999999999,0.051947011125665341
primary_ddcdw,B,D1,0.1982408207226965,0.083333333333333343,0.14078707702801496
primary_ddcdw,B,D2,0.1270522749012101,0.099333333333333329,0.11319280411727176
primary_ddcdw,B,D3,0.1976621815093523,0.13000000000000003,0.16383109075467622
primary_ddcdw,B,D4,0.27306741014162411,0.10466666666666669,0.18886703840414548
primary_ddcdw,B,D5,0.023859636115842499,0.11533333333333334,0.069596484724587931
primary_ddcdw,B,D6,0.0044147805938105997,0.090666666666666673,0.047540723630238639
primary_ddcdw,B,D7,0.049130563305665897,0.11333333333333334,0.081231948319499633
primary_ddcdw,B,D8,0.097869110487326605,0.087333333333333346,0.092601221910330003
primary_ddcdw,B,D9,0.022809199971140202,0.078666666666666676,0.050737933318903444
primary_ddcdw,B,D10,0.0058940222513306998,0.097333333333333341,0.051613677792332023
first_encounter_explanation_ddcdw,A,D1,0.049964473114738402,0.09866666666666668,0.074315569890702537
first_encounter_explanation_ddcdw,A,D2,0.0061416123651144997,0.088000000000000009,0.047070806182557247
first_encounter_explanation_ddcdw,A,D3,0.2599074786148784,0.1466666666666667,0.20328707264077259
first_encounter_explanation_ddcdw,A,D4,0.40396766420667429,0.10400000000000001,0.25398383210333719
first_encounter_explanation_ddcdw,A,D5,0.026675101165527799,0.12400000000000001,0.075337550582763896
first_encounter_explanation_ddcdw,A,D6,0.00021528824964620001,0.089333333333333348,0.044774310791489767
first_encounter_explanation_ddcdw,A,D7,0.0507478841791155,0.11533333333333336,0.083040608756224418
first_encounter_explanation_ddcdw,A,D8,0.1743655038738724,0.06933333333333333,0.12184941860360288
first_encounter_explanation_ddcdw,A,D9,0.0247814630897716,0.06666666666666668,0.045724064878219138
first_encounter_explanation_ddcdw,A,D10,0.0032335311406607001,0.09799999999999999,0.050616765570330333
