analysis,panel,scenario,lambda_objective,left_alternative,right_alternative,left_nominally_preferred,left_necessarily_preferred,left_possibly_preferred
primary_ddcdw,A,A_primary_ddcdw,0.5,A1,A2,True,True,True
primary_ddcdw,A,A_primary_ddcdw,0.5,A1,A3,True,True,True
primary_ddcdw,A,A_primary_ddcdw,0.5,A1,A4,True,False,True
primary_ddcdw,A,A_primary_ddcdw,0.5,A1,A5,False,False,False
primary_ddcdw,A,A_primary_ddcdw,0.5,A2,A1,False,False,False
primary_ddcdw,A,A_primary_ddcdw,0.5,A2,A3,True,True,True
primary_ddcdw,A,A_primary_ddcdw,0.5,A2,A4,False,False,False
primary_ddcdw,A,A_primary_ddcdw,0.5,A2,A5,False,False,False
primary_ddcdw,A,A_primary_ddcdw,0.5,A3,A1,False,False,False
primary_ddcdw,A,A_primary_ddcdw,0.5,A3,A2,False,False,False
primary_ddcdw,A,A_primary_ddcdw,0.5,A3,A4,False,False,False
primary_ddcdw,A,A_primary_ddcdw,0.5,A3,A5,False,False,False
primary_ddcdw,A,A_primary_ddcdw,0.5,A4,A1,False,False,True
primary_ddcdw,A,A_primary_ddcdw,0.5,A4,A2,True,True,True
primary_ddcdw,A,A_primary_ddcdw,0.5,A4,A3,True,True,True
primary_ddcdw,A,A_primary_ddcdw,0.5,A4,A5,False,False,False
primary_ddcdw,A,A_primary_ddcdw,0.5,A5,A1,True,True,True
primary_ddcdw,A,A_primary_ddcdw,0.5,A5,A2,True,True,True
primary_ddcdw,A,A_primary_ddcdw,0.5,A5,A3,True,True,True
primary_ddcdw,A,A_primary_ddcdw,0.5,A5,A4,True,True,True
primary_ddcdw,B,B_primary_ddcdw,0.5,A1,A2,True,True,True
primary_ddcdw,B,B_primary_ddcdw,0.5,A1,A3,True,True,True
primary_ddcdw,B,B_primary_ddcdw,0.5,A1,A4,False,False,True
primary_ddcdw,B,B_primary_ddcdw,0.5,A1,A5,False,False,False
primary_ddcdw,B,B_primary_ddcdw,0.5,A2,A1,False,False,False
primary_ddcdw,B,B_primary_ddcdw,0.5,A2,A3,True,True,True
primary_ddcdw,B,B_primary_ddcdw,0.5,A2,A4,False,False,False
primary_ddcdw,B,B_primary_ddcdw,0.5,A2,A5,False,False,False
primary_ddcdw,B,B_primary_ddcdw,0.5,A3,A1,False,False,False
primary_ddcdw,B,B_primary_ddcdw,0.5,A3,A2,False,False,False
primary_ddcdw,B,B_primary_ddcdw,0.5,A3,A4,False,False,False
primary_ddcdw,B,B_primary_ddcdw,0.5,A3,A5,False,False,False
primary_ddcdw,B,B_primary_ddcdw,0.5,A4,A1,True,False,True
primary_ddcdw,B,B_primary_ddcdw,0.5,A4,A2,True,True,True
primary_ddcdw,B,B_primary_ddcdw,0.5,A4,A3,True,True,True
primary_ddcdw,B,B_primary_ddcdw,0.5,A4,A5,False,False,False
primary_ddcdw,B,B_primary_ddcdw,0.5,A5,A1,True,True,True
primary_ddcdw,B,B_primary_ddcdw,0.5,A5,A2,True,True,True
primary_ddcdw,B,B_primary_ddcdw,0.5,A5,A3,True,True,True
primary_ddcdw,B,B_primary_ddcdw,0.5,A5,A4,True,True,True
first_encounter_explanation_ddcdw,A,A_first_encounter_explanation_ddcdw,0.5,A1,A2,True,True,True
first_encounter_explanation_ddcdw,A,A_first_encounter_explanation_ddcdw,0.5,A1,A3,True,True,True
first_encounter_explanation_ddcdw,A,A_first_encounter_explanation_ddcdw,0.5,A1,A4,True,True,True
first_encounter_explanation_ddcdw,A,A_first_encounter_explanation_ddcdw,0.5,A1,A5,True,True,True
first_encounter_explanation_ddcdw,A,A_first_encounter_explanation_ddcdw,0.5,A2,A1,False,False,False
first_encounter_explanation_ddcdw,A,A_first_encounter_explanation_ddcdw,0.5,A2,A3,True,True,True
first_encounter_explanation_ddcdw,A,A_first_encounter_explanation_ddcdw,0.5,A2,A4,True,False,True
first_encounter_explanation_ddcdw,A,A_first_encounter_explanation_ddcdw,0.5,A2,A5,False,False,False
first_encounter_explanation_ddcdw,A,A_first_encounter_explanation_ddcdw,0.5,A3,A1,False,False,False
first_encounter_explanation_ddcdw,A,A_first_encounter_explanation_ddcdw,0.5,A3,A2,False,False,False
first_encounter_explanation_ddcdw,A,A_first_encounter_explanation_ddcdw,0.5,A3,A4,False,False,False
first_encounter_explanation_ddcdw,A,A_first_encounter_explanation_ddcdw,0.5,A3,A5,False,False,False
first_encounter_explanation_ddcdw,A,A_first_encounter_explanation_ddcdw,0.5,A4,A1,False,False,False
first_encounter_explanation_ddcdw,A,A_first_encounter_explanation_ddcdw,0.5,A4,A2,False,False,True
first_encounter_explanation_ddcdw,A,A_first_encounter_explanation_ddcdw,0.5,A4,A3,True,True,True
first_encounter_explanation_ddcdw,A,A_first_encounter_explanation_ddcdw,0.5,A4,A5,False,False,False
first_encounter_explanation_ddcdw,A,A_first_encounter_explanation_ddcdw,0.5,A5,A1,False,False,False
first_encounter_explanation_ddcdw,A,A_first_encounter_explanation_ddcdw,0.5,A5,A2,True,True,True
first_encounter_explanation_ddcdw,A,A_first_encounter_explanation_ddcdw,0.5,A5,A3,True,True,True
first_encounter_explanation_ddcdw,A,A_first_encounter_explanation_ddcdw,0.5,A5,A4,True,True,True
first_encounter_explanation_ddcdw,B,B_first_encounter_explanation_ddcdw,0.5,A1,A2,True,True,True
first_encounter_explanation_ddcdw,B,B_first_encounter_explanation_ddcdw,0.5,A1,A3,True,True,True
first_encounter_explanation_ddcdw,B,B_first_encounter_explanation_ddcdw,0.5,A1,A4,True,True,True
first_encounter_explanation_ddcdw,B,B_first_encounter_explanation_ddcdw,0.5,A1,A5,False,False,True
first_encounter_explanation_ddcdw,B,B_first_encounter_explanation_ddcdw,0.5,A2,A1,False,False,False
first_encounter_explanation_ddcdw,B,B_first_encounter_explanation_ddcdw,0.5,A2,A3,True,True,True
first_encounter_explanation_ddcdw,B,B_first_encounter_explanation_ddcdw,0.5,A2,A4,False,False,False
first_encounter_explanation_ddcdw,B,B_first_encounter_explanation_ddcdw,0.5,A2,A5,False,False,False
