site,analysis_layer,alternative_id,layer_rank,spotis_D0,spotis_D_lower,spotis_D_upper
A,all five candidate directions,A5,1,0.33986440370313176,0.3354263141394068,0.34364982887725626
A,all five candidate directions,A1,2,0.37941352797393746,0.3689966032709121,0.38720291533406515
A,all five candidate directions,A4,3,0.391824753188877,0.38478264336151646,0.39805082206774045
A,all five candidate directions,A2,4,0.43684629617069043,0.43122609300463055,0.4414507884572227
A,all five candidate directions,A3,5,0.503503786127984,0.4854999851722367,0.5171846133457425
A,direct strategy layer only (A1-A4),A1,1,0.37941352797393746,0.3689966032709121,0.38720291533406515
A,direct strategy layer only (A1-A4),A4,2,0.391824753188877,0.38478264336151646,0.39805082206774045
A,direct strategy layer only (A1-A4),A2,3,0.43684629617069043,0.43122609300463055,0.4414507884572227
A,direct strategy layer only (A1-A4),A3,4,0.503503786127984,0.4854999851722367,0.5171846133457425
B,all five candidate directions,A5,1,0.3349902708872586,0.32577951954824297,0.34274433360352197
B,all five candidate directions,A4,2,0.3907321286470246,0.37940162471562683,0.40014928925947274
B,all five candidate directions,A1,3,0.400846390317688,0.39194837597101356,0.4069449187745532
B,all five candidate directions,A2,4,0.4555792871077119,0.44829632724523333,0.4615080861598229
B,all five candidate directions,A3,5,0.5588067637197845,0.5438618394849433,0.5701660658031528
B,direct strategy layer only (A1-A4),A4,1,0.3907321286470246,0.37940162471562683,0.40014928925947274
B,direct strategy layer only (A1-A4),A1,2,0.400846390317688,0.39194837597101356,0.4069449187745532
B,direct strategy layer only (A1-A4),A2,3,0.4555792871077119,0.44829632724523333,0.4615080861598229
B,direct strategy layer only (A1-A4),A3,4,0.5588067637197845,0.5438618394849433,0.5701660658031528
