panel,lambda_objective,alternative_id,spotis_D0,spotis_D_lower,spotis_D_upper
A,0.0,A1,0.34656225642616056,0.33808258657373147,0.35287660515118346
A,0.0,A2,0.38929625555143715,0.3847158471409731,0.39271875491885555
A,0.0,A3,0.5266426911484786,0.5080110544765157,0.5402848268234363
A,0.0,A4,0.40896221267543703,0.402901481799244,0.4144146494594778
A,0.0,A5,0.355106333890421,0.3507771004357442,0.35886623201811724
A,0.01,A1,0.34721928185711604,0.33870086690767504,0.3535631313548411
A,0.01,A2,0.3902472563638222,0.3856460520582462,0.3936933955896228
A,0.01,A3,0.5261799130480687,0.5075608330904302,0.5398228225538824
A,0.01,A4,0.4086194634857058,0.4025391050304894,0.41408737291164305
A,0.01,A5,0.3548014952866752,0.3504700847098174,0.3585619039553
A,0.02,A1,0.34787630728807156,0.3393191472416186,0.35424965755849874
A,0.02,A2,0.3911982571762072,0.3865762569755194,0.3946680362603902
A,0.02,A3,0.5257171349476587,0.5071106117043446,0.5393608182843285
A,0.02,A4,0.4082767142959746,0.40217672826173495,0.4137600963638083
A,0.02,A5,0.3544966566829294,0.35016306898389077,0.35825757589248286
A,0.03,A1,0.34853333271902703,0.3399374275755623,0.35493618376215635
A,0.03,A2,0.3921492579885923,0.38750646189279253,0.3956426769311575
A,0.03,A3,0.5252543568472489,0.5066603903182589,0.5388988140147746
A,0.03,A4,0.4079339651062434,0.4018143514929804,0.41343281981597346
A,0.03,A5,0.3541918180791836,0.349856053257964,0.35795324782966564
A,0.04,A1,0.3491903581499826,0.34055570790950584,0.355622709965814
A,0.04,A2,0.3931002588009774,0.3884366668100656,0.39661731760192487
A,0.04,A3,0.524791578746839,0.5062101689321734,0.5384368097452207
A,0.04,A4,0.40759121591651226,0.40145197472422584,0.41310554326813875
A,0.04,A5,0.3538869794754379,0.34954903753203725,0.3576489197668484
A,0.05,A1,0.34984738358093814,0.34117398824344947,0.3563092361694716
A,0.05,A2,0.3940512596133624,0.3893668717273388,0.3975919582726922
A,0.05,A3,0.5243288006464291,0.5057599475460878,0.5379748054756669
A,0.05,A4,0.40724846672678094,0.4010895979554713,0.41277826672030404
A,0.05,A5,0.3535821408716921,0.3492420218061104,0.35734459170403116
A,0.06,A1,0.3505044090118937,0.3417922685773931,0.3569957623731293
A,0.06,A2,0.3950022604257475,0.390297076644612,0.3985665989434595
A,0.06,A3,0.5238660225460191,0.5053097261600022,0.537512801206113
A,0.06,A4,0.4069057175370498,0.40072722118671666,0.41245099017246933
A,0.06,A5,0.3532773022679463,0.3489350060801837,0.357040263641214
A,0.07,A1,0.35116143444284925,0.34241054891133665,0.3576822885767868
A,0.07,A2,0.39595326123813246,0.3912272815618851,0.3995412396142269
A,0.07,A3,0.5234032444456093,0.5048595047739166,0.5370507969365591
A,0.07,A4,0.4065629683473186,0.4003648444179621,0.41212371362463446
A,0.07,A5,0.3529724636642005,0.3486279903542569,0.3567359355783967
A,0.08,A1,0.35181845987380483,0.34302882924528033,0.3583688147804446
A,0.08,A2,0.39690426205051765,0.39215748647915827,0.4005158802849943
A,0.08,A3,0.5229404663451994,0.5044092833878312,0.5365887926670054
A,0.08,A4,0.40622021915758744,0.40000246764920766,0.4117964370767998
A,0.08,A5,0.3526676250604547,0.3483209746283303,0.35643160751557956
A,0.09,A1,0.35247548530476036,0.343647109579224,0.35905534098410224
A,0.09,A2,0.39785526286290274,0.39308769139643146,0.40149052095576165
A,0.09,A3,0.5224776882447896,0.5039590620017456,0.5361267883974513
A,0.09,A4,0.4058774699678562,0.39964009088045305,0.4114691605289651
A,0.09,A5,0.35236278645670893,0.3480139589024035,0.35612727945276235
A,0.1,A1,0.3531325107357159,0.3442653899131675,0.3597418671877598
A,0.1,A2,0.39880626367528776,0.3940178963137045,0.4024651616265289
A,0.1,A3,0.5220149101443796,0.5035088406156599,0.5356647841278975
A,0.1,A4,0.40553472077812497,0.3992777141116985,0.41114188398113033
A,0.1,A5,0.35205794785296307,0.3477069431764767,0.3558229513899451
A,0.11,A1,0.3537895361666714,0.3448836702471112,0.36042839339141747
A,0.11,A2,0.3997572644876728,0.3949481012309776,0.4034398022972962
A,0.11,A3,0.5215521320439698,0.5030586192295743,0.5352027798583435
A,0.11,A4,0.4051919715883938,0.398915337342944,0.4108146074332956
A,0.11,A5,0.3517531092492174,0.34739992745054993,0.3555186233271279
A,0.12,A1,0.354446561597627,0.3455019505810547,0.3611149195950751
A,0.12,A2,0.40070826530005776,0.39587830614825076,0.4044144429680635
A,0.12,A3,0.5210893539435598,0.5026083978434888,0.5347407755887896
A,0.12,A4,0.40484922239866256,0.3985529605741894,0.4104873308854608
A,0.12,A5,0.35144827064547157,0.3470929117246232,0.35521429526431064
A,0.13,A1,0.3551035870285825,0.34612023091499833,0.36180144579873263
A,0.13,A2,0.40165926611244285,0.3968085110655239,0.40538908363883075
A,0.13,A3,0.5206265758431499,0.5021581764574032,0.5342787713192358
A,0.13,A4,0.40450647320893135,0.3981905838054348,0.4101600543376261
A,0.13,A5,0.35114343204172577,0.34678589599869647,0.35490996720149337
A,0.14,A1,0.3557606124595381,0.346738511248942,0.3624879720023903
A,0.14,A2,0.40261026692482793,0.3977387159827971,0.40636372430959816
A,0.14,A3,0.5201637977427401,0.5017079550713175,0.533816767049682
A,0.14,A4,0.4041637240192002,0.39782820703668026,0.4098327777897913
A,0.14,A5,0.35083859343798,0.34647888027276974,0.35460563913867615
