scenario,lambda_objective,alternative_id,spotis_D0,spotis_D_lower,spotis_D_upper,rank,necessary_outdegree,possible_outdegree,omitted_expert
leave_out_DM1,0.5,A1,0.379363972342394,0.3688373341711524,0.38689734173712864,2,2,3,DM1
leave_out_DM1,0.5,A2,0.4263867484130294,0.42132864229570194,0.43068773254671533,4,1,1,DM1
leave_out_DM1,0.5,A3,0.5101865134987931,0.49165831010386146,0.5246151733829731,5,0,0,DM1
leave_out_DM1,0.5,A4,0.39048423841743696,0.382829933520115,0.39712946014489026,3,2,3,DM1
leave_out_DM1,0.5,A5,0.3437932589448298,0.33889193611451934,0.3478623919462964,1,4,4,DM1
leave_out_DM2,0.5,A1,0.3845496409981072,0.3747167157426706,0.3922630168821766,2,2,3,DM2
leave_out_DM2,0.5,A2,0.4437557146528674,0.4376452121813989,0.4486055057324102,4,1,1,DM2
leave_out_DM2,0.5,A3,0.5046347437555232,0.4860471590785919,0.5185499313487093,5,0,0,DM2
leave_out_DM2,0.5,A4,0.39973447234277965,0.3919782876218958,0.40657325023500274,3,2,3,DM2
leave_out_DM2,0.5,A5,0.3361381148666105,0.33142861050309835,0.34019233495913465,1,4,4,DM2
leave_out_DM3,0.5,A1,0.3873572000524653,0.37613074433331267,0.3955551941271232,2,2,3,DM3
leave_out_DM3,0.5,A2,0.46544283623085486,0.45925944146736103,0.4703449477923934,4,1,1,DM3
leave_out_DM3,0.5,A3,0.514190446571287,0.49751940226979074,0.5272952165888364,5,0,0,DM3
leave_out_DM3,0.5,A4,0.389717989276234,0.382111929391853,0.3963341795339139,3,2,3,DM3
leave_out_DM3,0.5,A5,0.33764676805435556,0.33306281957806905,0.34151407141562423,1,4,4,DM3
leave_out_DM4,0.5,A1,0.3916356756825278,0.3800464775797906,0.40020743014759036,2,2,3,DM4
leave_out_DM4,0.5,A2,0.4461240785931622,0.44001440113057033,0.4509638195420106,4,1,1,DM4
leave_out_DM4,0.5,A3,0.488614713167395,0.4732390943725905,0.5000619367941704,5,0,0,DM4
leave_out_DM4,0.5,A4,0.39861585060293825,0.39074980354534533,0.40547421788096405,3,2,3,DM4
leave_out_DM4,0.5,A5,0.3330696618434076,0.3282078019797146,0.3370145190298348,1,4,4,DM4
leave_out_DM5,0.5,A1,0.38492177804579736,0.3740021973447809,0.3931503451324124,2,2,3,DM5
leave_out_DM5,0.5,A2,0.43807327163881843,0.4320264028860694,0.44288447630488437,4,1,1,DM5
leave_out_DM5,0.5,A3,0.5098847203169534,0.4912449381400066,0.5234186995643438,5,0,0,DM5
leave_out_DM5,0.5,A4,0.39955921062951105,0.3918037857603017,0.4063015564873232,3,2,3,DM5
leave_out_DM5,0.5,A5,0.3336810077462144,0.32905400680259883,0.33752446735060043,1,4,4,DM5
leave_out_DM6,0.5,A1,0.3678052224096721,0.3604188834219824,0.37342614737918034,2,3,3,DM6
leave_out_DM6,0.5,A2,0.42095619391615846,0.4171795998894786,0.4244497790617455,4,1,1,DM6
leave_out_DM6,0.5,A3,0.5149915354125022,0.49606851258804896,0.5291711065283609,5,0,0,DM6
leave_out_DM6,0.5,A4,0.3823387235327575,0.3767286536624396,0.3869742814989039,3,2,2,DM6
leave_out_DM6,0.5,A5,0.3301186951085771,0.3261484862086216,0.333370745333909,1,4,4,DM6
leave_out_DM7,0.5,A1,0.379241320809811,0.3690346088025684,0.3866743716412337,2,2,3,DM7
leave_out_DM7,0.5,A2,0.43363959398824825,0.4285513860658332,0.4379821530067954,4,1,1,DM7
leave_out_DM7,0.5,A3,0.5025712827008063,0.4843171275164657,0.5168197046579439,5,0,0,DM7
leave_out_DM7,0.5,A4,0.39007666055893053,0.3823559348341011,0.3968506885200021,3,2,3,DM7
leave_out_DM7,0.5,A5,0.3629583896524959,0.35937887780237593,0.3664268978654087,1,4,4,DM7
leave_out_DM8,0.5,A1,0.37599076132156356,0.3655414716877049,0.3838428693415176,2,3,3,DM8
leave_out_DM8,0.5,A2,0.4380618555883939,0.4319342093380655,0.44287521481815295,4,1,1,DM8
leave_out_DM8,0.5,A3,0.49145134343692254,0.47442085634635267,0.5047214848729892,5,0,0,DM8
leave_out_DM8,0.5,A4,0.39506939530083085,0.3901060746005362,0.4002193450220861,3,2,2,DM8
leave_out_DM8,0.5,A5,0.3278079930085912,0.3241957226649954,0.33084038882331746,1,4,4,DM8
leave_out_DM9,0.5,A1,0.3746213176576455,0.3645150698031299,0.38253450015259094,2,3,3,DM9
leave_out_DM9,0.5,A2,0.43527032182645975,0.4291505131648535,0.4401206176763053,4,1,1,DM9
leave_out_DM9,0.5,A3,0.4954433840039106,0.4777140300872223,0.5091361368042987,5,0,0,DM9
leave_out_DM9,0.5,A4,0.39584970804318276,0.3880984682070062,0.4026441581641823,3,2,2,DM9
leave_out_DM9,0.5,A5,0.35707794859895353,0.3523181377326021,0.36123914877866353,1,4,4,DM9
leave_out_DM10,0.5,A1,0.369502812932751,0.3599390334268126,0.3767471138149719,2,2,3,DM10
leave_out_DM10,0.5,A2,0.4262812035351168,0.42129704122368095,0.4305707393030124,4,1,1,DM10
leave_out_DM10,0.5,A3,0.5050179060042499,0.4872172204337231,0.5179313442102184,5,0,0,DM10
leave_out_DM10,0.5,A4,0.37571321684280895,0.370911921287714,0.3798966635357657,3,2,3,DM10
leave_out_DM10,0.5,A5,0.3291932881325795,0.32563382426191767,0.33204086400252464,1,4,4,DM10
