analysis,panel,left_alternative,right_alternative,left_nominally_preferred,left_necessarily_preferred,left_possibly_preferred
main,A,A1,A2,True,True,True
main,A,A1,A3,True,True,True
main,A,A1,A4,True,False,True
main,A,A1,A5,False,False,False
main,A,A2,A1,False,False,False
main,A,A2,A3,True,True,True
main,A,A2,A4,False,False,False
main,A,A2,A5,False,False,False
main,A,A3,A1,False,False,False
main,A,A3,A2,False,False,False
main,A,A3,A4,False,False,False
main,A,A3,A5,False,False,False
main,A,A4,A1,False,False,True
main,A,A4,A2,True,True,True
main,A,A4,A3,True,True,True
main,A,A4,A5,False,False,False
main,A,A5,A1,True,True,True
main,A,A5,A2,True,True,True
main,A,A5,A3,True,True,True
main,A,A5,A4,True,True,True
main,B,A1,A2,True,True,True
main,B,A1,A3,True,True,True
main,B,A1,A4,False,False,True
main,B,A1,A5,False,False,False
main,B,A2,A1,False,False,False
main,B,A2,A3,True,True,True
main,B,A2,A4,False,False,False
main,B,A2,A5,False,False,False
main,B,A3,A1,False,False,False
main,B,A3,A2,False,False,False
main,B,A3,A4,False,False,False
main,B,A3,A5,False,False,False
main,B,A4,A1,True,False,True
main,B,A4,A2,True,True,True
main,B,A4,A3,True,True,True
main,B,A4,A5,False,False,False
main,B,A5,A1,True,True,True
main,B,A5,A2,True,True,True
main,B,A5,A3,True,True,True
main,B,A5,A4,True,True,True
