analysis,panel,alternative_id,spotis_D0,spotis_D_lower,spotis_D_upper,rank,necessary_outdegree,possible_outdegree
main,A,A1,0.37941352797393746,0.3689966032709121,0.38720291533406515,2,2,3
main,A,A2,0.43684629617069043,0.43122609300463055,0.4414507884572227,4,1,1
main,A,A3,0.503503786127984,0.4854999851722367,0.5171846133457425,5,0,0
main,A,A4,0.391824753188877,0.38478264336151646,0.39805082206774045,3,2,3
main,A,A5,0.33986440370313176,0.3354263141394068,0.34364982887725626,1,4,4
main,B,A1,0.400846390317688,0.39194837597101356,0.4069449187745532,3,2,3
main,B,A2,0.4555792871077119,0.44829632724523333,0.4615080861598229,4,1,1
main,B,A3,0.5588067637197845,0.5438618394849433,0.5701660658031528,5,0,0
main,B,A4,0.3907321286470246,0.37940162471562683,0.40014928925947274,2,2,3
main,B,A5,0.3349902708872586,0.32577951954824297,0.34274433360352197,1,4,4
