site,family,scenario,nominal_order,top,bottom,all_intervals_degenerate
A,one-factor sensitivity,primary_equal,A5>A1>A4>A2>A3,A5,A3,False
A,one-factor sensitivity,threshold_EI,A5>A1>A4>A2>A3,A5,A3,False
A,one-factor sensitivity,threshold_VSI,A5>A1>A4>A2>A3,A5,A3,False
A,one-factor sensitivity,epsilon_0.75,A5>A1>A4>A2>A3,A5,A3,True
A,one-factor sensitivity,epsilon_1.25,A5>A1>A4>A2>A3,A5,A3,False
A,one-factor sensitivity,nu_1,A5>A1>A4>A2>A3,A5,A3,False
A,one-factor sensitivity,nu_5,A5>A1>A4>A2>A3,A5,A3,False
A,one-factor sensitivity,t2nn_weight_0.25,A5>A1>A4>A2>A3,A5,A3,False
A,one-factor sensitivity,t2nn_weight_0.75,A5>A1>A4>A2>A3,A5,A3,False
A,one-factor sensitivity,boundary_JSD,A5>A1>A4>A2>A3,A5,A3,False
A,one-factor sensitivity,rho_sqrt,A5>A1>A4>A2>A3,A5,A3,False
A,one-factor sensitivity,rho_square,A5>A1>A4>A2>A3,A5,A3,False
A,one-factor sensitivity,equal_utility_spacing,A5>A1>A4>A2>A3,A5,A3,False
A,one-factor sensitivity,weighted_median_plus_minus_1_target,A5>A1>A4>A2>A3,A5,A3,False
A,one-factor sensitivity,sna_participant_weights,A5>A1>A4>A2>A3,A5,A3,False
A,representation/interval ablation,PLTS_only_global,A5>A1>A4>A2>A3,A5,A3,True
A,representation/interval ablation,T2NN_only_global,A5>A1>A4>A2>A3,A5,A3,True
A,representation/interval ablation,global_fixed_convex_pool,A5>A1>A4>A2>A3,A5,A3,True
A,representation/interval ablation,rough_regional_fixed_pool,A5>A1>A4>A2>A3,A5,A3,True
A,representation/interval ablation,full_boundary_routing,A5>A1>A4>A2>A3,A5,A3,False
B,one-factor sensitivity,primary_equal,A5>A4>A1>A2>A3,A5,A3,False
B,one-factor sensitivity,threshold_EI,A5>A4>A1>A2>A3,A5,A3,False
B,one-factor sensitivity,threshold_VSI,A5>A4>A1>A2>A3,A5,A3,False
B,one-factor sensitivity,epsilon_0.75,A5>A4>A1>A2>A3,A5,A3,True
B,one-factor sensitivity,epsilon_1.25,A5>A4>A1>A2>A3,A5,A3,False
B,one-factor sensitivity,nu_1,A5>A4>A1>A2>A3,A5,A3,False
B,one-factor sensitivity,nu_5,A5>A4>A1>A2>A3,A5,A3,False
B,one-factor sensitivity,t2nn_weight_0.25,A5>A4>A1>A2>A3,A5,A3,False
B,one-factor sensitivity,t2nn_weight_0.75,A5>A4>A1>A2>A3,A5,A3,False
B,one-factor sensitivity,boundary_JSD,A5>A4>A1>A2>A3,A5,A3,False
B,one-factor sensitivity,rho_sqrt,A5>A4>A1>A2>A3,A5,A3,False
B,one-factor sensitivity,rho_square,A5>A4>A1>A2>A3,A5,A3,False
B,one-factor sensitivity,equal_utility_spacing,A5>A4>A1>A2>A3,A5,A3,False
B,one-factor sensitivity,weighted_median_plus_minus_1_target,A5>A4>A1>A2>A3,A5,A3,False
B,representation/interval ablation,PLTS_only_global,A5>A4>A1>A2>A3,A5,A3,True
B,representation/interval ablation,T2NN_only_global,A5>A2>A4>A1>A3,A5,A3,True
B,representation/interval ablation,global_fixed_convex_pool,A5>A4>A1>A2>A3,A5,A3,True
B,representation/interval ablation,rough_regional_fixed_pool,A5>A4>A1>A2>A3,A5,A3,True
B,representation/interval ablation,full_boundary_routing,A5>A4>A1>A2>A3,A5,A3,False
